Station,Year AD,Year BS,Rainfall (mm)
"Banke, Nepalganj ",2001,2058,1279
"Banke, Nepalganj ",2002,2059,967
"Banke, Nepalganj ",2003,2060,
"Banke, Nepalganj ",2004,2061,929
"Banke, Nepalganj ",2005,2062,1184
"Banke, Nepalganj ",2006,2063,1242
"Banke, Nepalganj ",2007,2064,2567
"Banke, Nepalganj ",2008,2065,1781
"Banke, Nepalganj ",2009,2066,1585
"Banke, Nepalganj ",2010,2067,1503
"Banke, Nepalganj ",2011,2068,1396
"Banke, Nepalganj ",2012,2069,1080
"Bara, Simara  Airport ",2001,2058,2297
"Bara, Simara  Airport ",2002,2059,1949
"Bara, Simara  Airport ",2003,2060,2150
"Bara, Simara  Airport ",2004,2061,1965
"Bara, Simara  Airport ",2005,2062,1864
"Bara, Simara  Airport ",2006,2063,1861
"Bara, Simara  Airport ",2007,2064,2897
"Bara, Simara  Airport ",2008,2065,1643
"Bara, Simara  Airport ",2009,2066,1312
"Bara, Simara  Airport ",2010,2067,1580
"Bara, Simara  Airport ",2011,2068,1832
"Bara, Simara  Airport ",2012,2069,893
"Bhaktapur, Nagarkot ",2001,2058,185
"Bhaktapur, Nagarkot ",2002,2059,2321
"Bhaktapur, Nagarkot ",2003,2060,2260
"Bhaktapur, Nagarkot ",2004,2061,1807
"Bhaktapur, Nagarkot ",2005,2062,1797
"Bhaktapur, Nagarkot ",2006,2063,1669
"Bhaktapur, Nagarkot ",2007,2064,2000
"Bhaktapur, Nagarkot ",2008,2065,1512
"Bhaktapur, Nagarkot ",2009,2066,1503
"Bhaktapur, Nagarkot ",2010,2067,1715
"Bhaktapur, Nagarkot ",2011,2068,2178
"Bhaktapur, Nagarkot ",2012,2069,1768
"Bhojpur,Bhojpurr* ",2001,2058,1304
"Bhojpur,Bhojpurr* ",2002,2059,1178
"Bhojpur,Bhojpurr* ",2003,2060,1086
"Bhojpur,Bhojpurr* ",2004,2061,-
"Bhojpur,Bhojpurr* ",2005,2062,-
"Bhojpur,Bhojpurr* ",2006,2063,-
"Bhojpur,Bhojpurr* ",2007,2064,- 
"Bhojpur,Bhojpurr* ",2008,2065,- 
"Bhojpur,Bhojpurr* ",2009,2066,-
"Bhojpur,Bhojpurr* ",2010,2067,-
"Chitawan, Rampur ",2001,2058,234
"Chitawan, Rampur ",2002,2059,2644
"Chitawan, Rampur ",2003,2060,2694
"Chitawan, Rampur ",2004,2061,2042
"Chitawan, Rampur ",2005,2062,1732
"Chitawan, Rampur ",2006,2063,1997
"Chitawan, Rampur ",2007,2064,2743
"Chitawan, Rampur ",2008,2065,1786
"Chitawan, Rampur ",2009,2066,1909
"Chitawan, Rampur ",2010,2067,2400
"Chitawan, Rampur ",2011,2068,1184
"Chitawan, Rampur ",2012,2069,1636
"Dadeldhura,Dadeldhura ",2001,2058,132
"Dadeldhura,Dadeldhura ",2002,2059,1293
"Dadeldhura,Dadeldhura ",2003,2060,1391
"Dadeldhura,Dadeldhura ",2004,2061,1194
"Dadeldhura,Dadeldhura ",2005,2062,1102
"Dadeldhura,Dadeldhura ",2006,2063,941
"Dadeldhura,Dadeldhura ",2007,2064,1669
"Dadeldhura,Dadeldhura ",2008,2065,1479
"Dadeldhura,Dadeldhura ",2009,2066,1746
"Dadeldhura,Dadeldhura ",2010,2067,1527
"Dadeldhura,Dadeldhura ",2011,2068,1251
"Dadeldhura,Dadeldhura ",2012,2069,NA 
"Dailekh,Dailekh ",2001,2058,
"Dailekh,Dailekh ",2002,2059,1327
"Dailekh,Dailekh ",2003,2060,1999
"Dailekh,Dailekh ",2004,2061,1281
"Dailekh,Dailekh ",2005,2062,1792
"Dailekh,Dailekh ",2006,2063,1784
"Dailekh,Dailekh ",2007,2064,1697
"Dailekh,Dailekh ",2008,2065,1986
"Dailekh,Dailekh ",2009,2066,1686
"Dailekh,Dailekh ",2010,2067,1163
"Dailekh,Dailekh ",2011,2068,1785
"Dailekh,Dailekh ",2012,2069,NA 
"Dang , Ghorahi ",2001,2058,1633
"Dang , Ghorahi ",2002,2059,1364
"Dang , Ghorahi ",2003,2060,1700
"Dang , Ghorahi ",2004,2061,1318
"Dang , Ghorahi ",2005,2062,1557
"Dang , Ghorahi ",2006,2063,1266
"Dang , Ghorahi ",2007,2064,1878
"Dang , Ghorahi ",2008,2065,1363
"Dang , Ghorahi ",2009,2066,1551
"Dang , Ghorahi ",2010,2067,1569
"Dang , Ghorahi ",2011,2068,
"Dang , Ghorahi ",2012,2069,NA 
"Darchula,Darchula ",2001,2058,227
"Darchula,Darchula ",2002,2059,2183
"Darchula,Darchula ",2003,2060,2864
"Darchula,Darchula ",2004,2061,2616
"Darchula,Darchula ",2005,2062,2281
"Darchula,Darchula ",2006,2063,2386
"Darchula,Darchula ",2007,2064,3256
"Darchula,Darchula ",2008,2065,2336
"Darchula,Darchula ",2009,2066,2533
"Darchula,Darchula ",2010,2067,2963
"Darchula,Darchula ",2011,2068,
"Darchula,Darchula ",2012,2069,2254
"Dhankuta,Dhankuta ",2001,2058,959
"Dhankuta,Dhankuta ",2002,2059,1090
"Dhankuta,Dhankuta ",2003,2060,1086
"Dhankuta,Dhankuta ",2004,2061,951
"Dhankuta,Dhankuta ",2005,2062,1156
"Dhankuta,Dhankuta ",2006,2063,859
"Dhankuta,Dhankuta ",2007,2064,964
"Dhankuta,Dhankuta ",2008,2065,NA 
"Dhankuta,Dhankuta ",2009,2066,933
"Dhankuta,Dhankuta ",2010,2067,870
"Dhankuta,Dhankuta ",2011,2068,834
"Dhankuta,Dhankuta ",2012,2069,707
"Dolakha, Jiri ",2001,2058,
"Dolakha, Jiri ",2002,2059,
"Dolakha, Jiri ",2003,2060,2839
"Dolakha, Jiri ",2004,2061,2613
"Dolakha, Jiri ",2005,2062,2015
"Dolakha, Jiri ",2006,2063,1980
"Dolakha, Jiri ",2007,2064,NA 
"Dolakha, Jiri ",2008,2065,2863
"Dolakha, Jiri ",2009,2066,2010
"Dolakha, Jiri ",2010,2067,2556
"Dolakha, Jiri ",2011,2068,2682
"Dolakha, Jiri ",2012,2069,2325
"Dolpa, Dunai ",2001,2058,174
"Dolpa, Dunai ",2002,2059,
"Dolpa, Dunai ",2003,2060,273
"Dolpa, Dunai ",2004,2061,203
"Dolpa, Dunai ",2005,2062,94
"Dolpa, Dunai ",2006,2063,266
"Dolpa, Dunai ",2007,2064,175
"Dolpa, Dunai ",2008,2065,292
"Dolpa, Dunai ",2009,2066,200
"Dolpa, Dunai ",2010,2067,458
"Dolpa, Dunai ",2011,2068,441
"Dolpa, Dunai ",2012,2069,NA 
"Doti, Dipayal ",2001,2058,998
"Doti, Dipayal ",2002,2059,1025
"Doti, Dipayal ",2003,2060,1261
"Doti, Dipayal ",2004,2061,1034
"Doti, Dipayal ",2005,2062,987
"Doti, Dipayal ",2006,2063,907
"Doti, Dipayal ",2007,2064,1035
"Doti, Dipayal ",2008,2065,1096
"Doti, Dipayal ",2009,2066,1359
"Doti, Dipayal ",2010,2067,954
"Doti, Dipayal ",2011,2068,176
"Doti, Dipayal ",2012,2069,982
"Gorkha,Gorkha ",2001,2058,1872
"Gorkha,Gorkha ",2002,2059,1743
"Gorkha,Gorkha ",2003,2060,1729
"Gorkha,Gorkha ",2004,2061,1613
"Gorkha,Gorkha ",2005,2062,1277
"Gorkha,Gorkha ",2006,2063,1114
"Gorkha,Gorkha ",2007,2064,1763
"Gorkha,Gorkha ",2008,2065,NA 
"Gorkha,Gorkha ",2009,2066,1476
"Gorkha,Gorkha ",2010,2067,1900
"Gorkha,Gorkha ",2011,2068,1999
"Gorkha,Gorkha ",2012,2069,1896
"Gulmi,Tamghas ",2001,2058,1974
"Gulmi,Tamghas ",2002,2059,1399
"Gulmi,Tamghas ",2003,2060,2314
"Gulmi,Tamghas ",2004,2061,1234
"Gulmi,Tamghas ",2005,2062,1570
"Gulmi,Tamghas ",2006,2063,1457
"Gulmi,Tamghas ",2007,2064,2239
"Gulmi,Tamghas ",2008,2065,1773
"Gulmi,Tamghas ",2009,2066,1794
"Gulmi,Tamghas ",2010,2067,1490
"Gulmi,Tamghas ",2011,2068,1807
"Gulmi,Tamghas ",2012,2069,1923
"Ilam,ilam Tea State ",2001,2058,1331
"Ilam,ilam Tea State ",2002,2059,1542
"Ilam,ilam Tea State ",2003,2060,2001
"Ilam,ilam Tea State ",2004,2061,
"Ilam,ilam Tea State ",2005,2062,
"Ilam,ilam Tea State ",2006,2063,1119
"Ilam,ilam Tea State ",2007,2064,NA 
"Ilam,ilam Tea State ",2008,2065,NA 
"Ilam,ilam Tea State ",2009,2066,1243
"Ilam,ilam Tea State ",2010,2067,
"Ilam,ilam Tea State ",2011,2068,
"Ilam,ilam Tea State ",2012,2069,NA 
"Dhanusha,Janakpur Airport  ",2001,2058,1775
"Dhanusha,Janakpur Airport  ",2002,2059,1591
"Dhanusha,Janakpur Airport  ",2003,2060,2008
"Dhanusha,Janakpur Airport  ",2004,2061,2199
"Dhanusha,Janakpur Airport  ",2005,2062,1307
"Dhanusha,Janakpur Airport  ",2006,2063,1292
"Dhanusha,Janakpur Airport  ",2007,2064,2563
"Dhanusha,Janakpur Airport  ",2008,2065,1211
"Dhanusha,Janakpur Airport  ",2009,2066,1320
"Dhanusha,Janakpur Airport  ",2010,2067,964
"Dhanusha,Janakpur Airport  ",2011,2068,
"Dhanusha,Janakpur Airport  ",2012,2069,1042
"Jhapa, Kankai ",2001,2058,244
"Jhapa, Kankai ",2002,2059,2311
"Jhapa, Kankai ",2003,2060,2748
"Jhapa, Kankai ",2004,2061,2451
"Jhapa, Kankai ",2005,2062,1832
"Jhapa, Kankai ",2006,2063,1697
"Jhapa, Kankai ",2007,2064,2495
"Jhapa, Kankai ",2008,2065,2860
"Jhapa, Kankai ",2009,2066,2568
"Jhapa, Kankai ",2010,2067,3027
"Jhapa, Kankai ",2011,2068,2622
"Jhapa, Kankai ",2012,2069,1839
"Mustang,Jomsom ",2001,2058,240
"Mustang,Jomsom ",2002,2059,308
"Mustang,Jomsom ",2003,2060,319
"Mustang,Jomsom ",2004,2061,230
"Mustang,Jomsom ",2005,2062,309
"Mustang,Jomsom ",2006,2063,302
"Mustang,Jomsom ",2007,2064,312
"Mustang,Jomsom ",2008,2065,NA 
"Mustang,Jomsom ",2009,2066,322
"Mustang,Jomsom ",2010,2067,286
"Mustang,Jomsom ",2011,2068,222
"Mustang,Jomsom ",2012,2069,215
"Jumla,Jumla ",2001,2058,728
"Jumla,Jumla ",2002,2059,842
"Jumla,Jumla ",2003,2060,843
"Jumla,Jumla ",2004,2061,685
"Jumla,Jumla ",2005,2062,670
"Jumla,Jumla ",2006,2063,748
"Jumla,Jumla ",2007,2064,832
"Jumla,Jumla ",2008,2065,967
"Jumla,Jumla ",2009,2066,696
"Jumla,Jumla ",2010,2067,795
"Jumla,Jumla ",2011,2068,945
"Jumla,Jumla ",2012,2069,785
"Kailali, Dhangadi ",2001,2058,1485
"Kailali, Dhangadi ",2002,2059,1626
"Kailali, Dhangadi ",2003,2060,2309
"Kailali, Dhangadi ",2004,2061,1418
"Kailali, Dhangadi ",2005,2062,1742
"Kailali, Dhangadi ",2006,2063,1448
"Kailali, Dhangadi ",2007,2064,2602
"Kailali, Dhangadi ",2008,2065,2677
"Kailali, Dhangadi ",2009,2066,2286
"Kailali, Dhangadi ",2010,2067,2070
"Kailali, Dhangadi ",2011,2068,1822
"Kailali, Dhangadi ",2012,2069,883
"Kanchanpur,  Mahendranagar ",2001,2058,1407
"Kanchanpur,  Mahendranagar ",2002,2059,2006
"Kanchanpur,  Mahendranagar ",2003,2060,NA 
"Kanchanpur,  Mahendranagar ",2004,2061,NA 
"Kanchanpur,  Mahendranagar ",2005,2062,1680
"Kanchanpur,  Mahendranagar ",2006,2063,1056
"Kanchanpur,  Mahendranagar ",2007,2064,NA 
"Kanchanpur,  Mahendranagar ",2008,2065,NA 
"Kanchanpur,  Mahendranagar ",2009,2066,2843
"Kanchanpur,  Mahendranagar ",2010,2067,1949
"Kanchanpur,  Mahendranagar ",2011,2068,1593
"Kanchanpur,  Mahendranagar ",2012,2069,1666
"Kaski, Lumle ",2001,2058,5936
"Kaski, Lumle ",2002,2059,5730
"Kaski, Lumle ",2003,2060,6310
"Kaski, Lumle ",2004,2061,6096
"Kaski, Lumle ",2005,2062,4923
"Kaski, Lumle ",2006,2063,4162
"Kaski, Lumle ",2007,2064,6056
"Kaski, Lumle ",2008,2065,5902
"Kaski, Lumle ",2009,2066,4873
"Kaski, Lumle ",2010,2067,5700
"Kaski, Lumle ",2011,2068,5653
"Kaski, Lumle ",2012,2069,4689
"Kaski, Pokhara  Airport ",2001,2058,4512
"Kaski, Pokhara  Airport ",2002,2059,4484
"Kaski, Pokhara  Airport ",2003,2060,4362
"Kaski, Pokhara  Airport ",2004,2061,4129
"Kaski, Pokhara  Airport ",2005,2062,2967
"Kaski, Pokhara  Airport ",2006,2063,3024
"Kaski, Pokhara  Airport ",2007,2064,4272
"Kaski, Pokhara  Airport ",2008,2065,3263
"Kaski, Pokhara  Airport ",2009,2066,3256
"Kaski, Pokhara  Airport ",2010,2067,3967
"Kaski, Pokhara  Airport ",2011,2068,3487
"Kaski, Pokhara  Airport ",2012,2069,3266
"Kathmandu, Airport  ",2001,2058,1621
"Kathmandu, Airport  ",2002,2059,1871
"Kathmandu, Airport  ",2003,2060,1740
"Kathmandu, Airport  ",2004,2061,1583
"Kathmandu, Airport  ",2005,2062,1236
"Kathmandu, Airport  ",2006,2063,1391
"Kathmandu, Airport  ",2007,2064,1346
"Kathmandu, Airport  ",2008,2065,1220
"Kathmandu, Airport  ",2009,2066,1205
"Kathmandu, Airport  ",2010,2067,1479
"Kathmandu, Airport  ",2011,2068,1655
"Kathmandu, Airport  ",2012,2069,1465
"Lamjung, Khudibazar ",2001,2058,314
"Lamjung, Khudibazar ",2002,2059,3304
"Lamjung, Khudibazar ",2003,2060,3849
"Lamjung, Khudibazar ",2004,2061,3849
"Lamjung, Khudibazar ",2005,2062,2838
"Lamjung, Khudibazar ",2006,2063,2852
"Lamjung, Khudibazar ",2007,2064,3372
"Lamjung, Khudibazar ",2008,2065,3690
"Lamjung, Khudibazar ",2009,2066,2642
"Lamjung, Khudibazar ",2010,2067,3281
"Lamjung, Khudibazar ",2011,2068,3338
"Lamjung, Khudibazar ",2012,2069,3099
"Makawanpur, Hetauda ",2001,2058,2680
"Makawanpur, Hetauda ",2002,2059,3323
"Makawanpur, Hetauda ",2003,2060,2998
