District,Zone,Geographical Region,Development Region,Altitude,Lake Number 
Arghakhanchi,Lumbini,Hill,Western,<100m,0
Arghakhanchi,Lumbini,Hill,Western,100-499 m,0
Arghakhanchi,Lumbini,Hill,Western,500- 1999m,3
Arghakhanchi,Lumbini,Hill,Western,2000-2999m,0
Arghakhanchi,Lumbini,Hill,Western,3000-4999m,0
Arghakhanchi,Lumbini,Hill,Western,>5000m,0
Pyuthan,Rapti,Hill,Mid-Western,<100m,0
Pyuthan,Rapti,Hill,Mid-Western,100-499 m,0
Pyuthan,Rapti,Hill,Mid-Western,500- 1999m,13
Pyuthan,Rapti,Hill,Mid-Western,2000-2999m,6
Pyuthan,Rapti,Hill,Mid-Western,3000-4999m,0
Pyuthan,Rapti,Hill,Mid-Western,>5000m,0
Rolpa,Rapti,Hill,Mid-Western,<100m,0
Rolpa,Rapti,Hill,Mid-Western,100-499 m,0
Rolpa,Rapti,Hill,Mid-Western,500- 1999m,11
Rolpa,Rapti,Hill,Mid-Western,2000-2999m,1
Rolpa,Rapti,Hill,Mid-Western,3000-4999m,4
Rolpa,Rapti,Hill,Mid-Western,>5000m,0
Rukum,Rapti,Hill,Mid-Western,<100m,0
Rukum,Rapti,Hill,Mid-Western,100-499 m,0
Rukum,Rapti,Hill,Mid-Western,500- 1999m,13
Rukum,Rapti,Hill,Mid-Western,2000-2999m,14
Rukum,Rapti,Hill,Mid-Western,3000-4999m,31
Rukum,Rapti,Hill,Mid-Western,>5000m,12
Salyan,Rapti,Hill,Mid-Western,<100m,0
Salyan,Rapti,Hill,Mid-Western,100-499 m,0
Salyan,Rapti,Hill,Mid-Western,500- 1999m,5
Salyan,Rapti,Hill,Mid-Western,2000-2999m,0
Salyan,Rapti,Hill,Mid-Western,3000-4999m,0
Salyan,Rapti,Hill,Mid-Western,>5000m,0
Dang,Rapti,Terai,Mid-Western,<100m,0
Dang,Rapti,Terai,Mid-Western,100-499 m,8
Dang,Rapti,Terai,Mid-Western,500- 1999m,30
Dang,Rapti,Terai,Mid-Western,2000-2999m,0
Dang,Rapti,Terai,Mid-Western,3000-4999m,0
Dang,Rapti,Terai,Mid-Western,>5000m,0
Banke,Bheri,Terai,Mid-Western,<100m,0
Banke,Bheri,Terai,Mid-Western,100-499 m,243
Banke,Bheri,Terai,Mid-Western,500- 1999m,0
Banke,Bheri,Terai,Mid-Western,2000-2999m,0
Banke,Bheri,Terai,Mid-Western,3000-4999m,0
Banke,Bheri,Terai,Mid-Western,>5000m,0
Bardiya,Bheri,Terai,Mid-Western,<100m,0
Bardiya,Bheri,Terai,Mid-Western,100-499 m,82
Bardiya,Bheri,Terai,Mid-Western,500- 1999m,0
Bardiya,Bheri,Terai,Mid-Western,2000-2999m,0
Bardiya,Bheri,Terai,Mid-Western,3000-4999m,0
Bardiya,Bheri,Terai,Mid-Western,>5000m,0
Surkhet,Bheri,Hill,Mid-Western,<100m,0
Surkhet,Bheri,Hill,Mid-Western,100-499 m,1
Surkhet,Bheri,Hill,Mid-Western,500- 1999m,21
Surkhet,Bheri,Hill,Mid-Western,2000-2999m,0
Surkhet,Bheri,Hill,Mid-Western,3000-4999m,0
Surkhet,Bheri,Hill,Mid-Western,>5000m,0
Dailekh,Bheri,Hill,Mid-Western,<100m,0
Dailekh,Bheri,Hill,Mid-Western,100-499 m,0
Dailekh,Bheri,Hill,Mid-Western,500- 1999m,5
Dailekh,Bheri,Hill,Mid-Western,2000-2999m,2
Dailekh,Bheri,Hill,Mid-Western,3000-4999m,0
Dailekh,Bheri,Hill,Mid-Western,>5000m,0
Jajarkot,Bheri,Hill,Mid-Western,<100m,0
Jajarkot,Bheri,Hill,Mid-Western,100-499 m,0
Jajarkot,Bheri,Hill,Mid-Western,500- 1999m,0
Jajarkot,Bheri,Hill,Mid-Western,2000-2999m,0
Jajarkot,Bheri,Hill,Mid-Western,3000-4999m,16
Jajarkot,Bheri,Hill,Mid-Western,>5000m,0
Dolpa,Karnali,Mountain,Mid-Western,<100m,0
Dolpa,Karnali,Mountain,Mid-Western,100-499 m,0
Dolpa,Karnali,Mountain,Mid-Western,500- 1999m,0
Dolpa,Karnali,Mountain,Mid-Western,2000-2999m,0
Dolpa,Karnali,Mountain,Mid-Western,3000-4999m,47
Dolpa,Karnali,Mountain,Mid-Western,>5000m,163
Jumla,Karnali,Mountain,Mid-Western,<100m,0
Jumla,Karnali,Mountain,Mid-Western,100-499 m,0
Jumla,Karnali,Mountain,Mid-Western,500- 1999m,0
Jumla,Karnali,Mountain,Mid-Western,2000-2999m,1
Jumla,Karnali,Mountain,Mid-Western,3000-4999m,97
Jumla,Karnali,Mountain,Mid-Western,>5000m,1
Kalikot,Karnali,Mountain,Mid-Western,<100m,0
Kalikot,Karnali,Mountain,Mid-Western,100-499 m,0
Kalikot,Karnali,Mountain,Mid-Western,500- 1999m,0
Kalikot,Karnali,Mountain,Mid-Western,2000-2999m,0
Kalikot,Karnali,Mountain,Mid-Western,3000-4999m,1
Kalikot,Karnali,Mountain,Mid-Western,>5000m,0
Mugu,Karnali,Mountain,Mid-Western,<100m,0
Mugu,Karnali,Mountain,Mid-Western,100-499 m,0
Mugu,Karnali,Mountain,Mid-Western,500- 1999m,0
Mugu,Karnali,Mountain,Mid-Western,2000-2999m,3
Mugu,Karnali,Mountain,Mid-Western,3000-4999m,93
Mugu,Karnali,Mountain,Mid-Western,>5000m,29
Humla,Karnali,Mountain,Mid-Western,<100m,0
Humla,Karnali,Mountain,Mid-Western,100-499 m,0
Humla,Karnali,Mountain,Mid-Western,500- 1999m,0
Humla,Karnali,Mountain,Mid-Western,2000-2999m,0
Humla,Karnali,Mountain,Mid-Western,3000-4999m,147
Humla,Karnali,Mountain,Mid-Western,>5000m,234
Bajura,Seti,Mountain,Far-Western,<100m,0
Bajura,Seti,Mountain,Far-Western,100-499 m,0
Bajura,Seti,Mountain,Far-Western,500- 1999m,0
Bajura,Seti,Mountain,Far-Western,2000-2999m,5
Bajura,Seti,Mountain,Far-Western,3000-4999m,45
Bajura,Seti,Mountain,Far-Western,>5000m,7
Bajhang,Seti,Mountain,Far-Western,<100m,0
Bajhang,Seti,Mountain,Far-Western,100-499 m,0
Bajhang,Seti,Mountain,Far-Western,500- 1999m,0
Bajhang,Seti,Mountain,Far-Western,2000-2999m,2
Bajhang,Seti,Mountain,Far-Western,3000-4999m,19
Bajhang,Seti,Mountain,Far-Western,>5000m,4
Achham,Seti,Hill,Far-Western,<100m,0
Achham,Seti,Hill,Far-Western,100-499 m,0
Achham,Seti,Hill,Far-Western,500- 1999m,3
Achham,Seti,Hill,Far-Western,2000-2999m,7
Achham,Seti,Hill,Far-Western,3000-4999m,3
Achham,Seti,Hill,Far-Western,>5000m,0
Doti,Seti,Hill,Far-Western,<100m,0
Doti,Seti,Hill,Far-Western,100-499 m,0
Doti,Seti,Hill,Far-Western,500- 1999m,9
Doti,Seti,Hill,Far-Western,2000-2999m,4
Doti,Seti,Hill,Far-Western,3000-4999m,6
Doti,Seti,Hill,Far-Western,>5000m,0
Kailali,Seti,Terai,Far-Western,<100m,0
Kailali,Seti,Terai,Far-Western,100-499 m,113
Kailali,Seti,Terai,Far-Western,500- 1999m,1
Kailali,Seti,Terai,Far-Western,2000-2999m,0
Kailali,Seti,Terai,Far-Western,3000-4999m,0
Kailali,Seti,Terai,Far-Western,>5000m,0
Kanchanpur,Mahakali,Terai,Far-Western,<100m,2
Kanchanpur,Mahakali,Terai,Far-Western,100-499 m,79
Kanchanpur,Mahakali,Terai,Far-Western,500- 1999m,4
Kanchanpur,Mahakali,Terai,Far-Western,2000-2999m,0
Kanchanpur,Mahakali,Terai,Far-Western,3000-4999m,0
Kanchanpur,Mahakali,Terai,Far-Western,>5000m,0
Dadeldhura,Mahakali,Hill,Far-Western,<100m,0
Dadeldhura,Mahakali,Hill,Far-Western,100-499 m,0
Dadeldhura,Mahakali,Hill,Far-Western,500- 1999m,2
Dadeldhura,Mahakali,Hill,Far-Western,2000-2999m,0
Dadeldhura,Mahakali,Hill,Far-Western,3000-4999m,0
Dadeldhura,Mahakali,Hill,Far-Western,>5000m,0
Baitadi,Mahakali,Hill,Far-Western,<100m,0
Baitadi,Mahakali,Hill,Far-Western,100-499 m,0
Baitadi,Mahakali,Hill,Far-Western,500- 1999m,1
Baitadi,Mahakali,Hill,Far-Western,2000-2999m,0
Baitadi,Mahakali,Hill,Far-Western,3000-4999m,0
Baitadi,Mahakali,Hill,Far-Western,>5000m,0
Darchaula,Mahakali,Mountain,Far-Western,<100m,0
Darchaula,Mahakali,Mountain,Far-Western,100-499 m,0
Darchaula,Mahakali,Mountain,Far-Western,500- 1999m,1
Darchaula,Mahakali,Mountain,Far-Western,2000-2999m,0
Darchaula,Mahakali,Mountain,Far-Western,3000-4999m,16
Darchaula,Mahakali,Mountain,Far-Western,>5000m,2
Total ,,,,<100m,1270
Total ,,,,100-499 m,1442
Total ,,,,500- 1999m,271
Total ,,,,2000-2999m,148
Total ,,,,3000-4999m,1296
Total ,,,,>5000m,931
